error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Diff net spacing	M1 (11)	125.336	22.2165	120-140,020-040	125.256	22.175	125.416	22.258
2	Diff net spacing	M1 (11)	220.64	32.2485	220-240,020-040	220.56	32.207	220.72	32.29
6	Diff net spacing	M1 (11)	198.44799999999998	45.6245	180-200,040-060	198.368	45.583	198.528	45.666
12	Diff net spacing	M1 (11)	102.384	47.8795	100-120,040-060	102.304	47.838	102.464	47.921
15	Diff net spacing	M1 (11)	198.60000000000002	48.9685	180-200,040-060	198.52	48.927	198.68	49.01
21	Diff net spacing	M1 (11)	205.44	55.6565	200-220,040-060	205.36	55.615	205.52	55.698
22	Diff net spacing	M1 (11)	196.928	61.2555	180-200,060-080	196.848	61.214	197.008	61.297
23	Diff net spacing	M1 (11)	287.216	64.5995	280-300,060-080	287.136	64.558	287.296	64.641
26	Diff net spacing	M1 (11)	195.56	81.3195	180-200,080-100	195.48	81.278	195.64	81.361
27	Diff net spacing	M1 (11)	197.536	79.0645	180-200,060-080	197.456	79.023	197.616	79.106
28	Diff net spacing	M1 (11)	216.83999999999997	81.3195	200-220,080-100	216.76	81.278	216.92	81.361
29	Diff net spacing	M1 (11)	221.704	81.3195	220-240,080-100	221.624	81.278	221.784	81.361
32	Diff net spacing	M1 (11)	154.06400000000002	85.7525	140-160,080-100	153.984	85.711	154.144	85.794
33	Diff net spacing	M1 (11)	166.68	82.4085	160-180,080-100	166.6	82.367	166.76	82.45
34	Diff net spacing	M1 (11)	165.92000000000002	89.0965	160-180,080-100	165.84	89.055	166.0	89.138
35	Diff net spacing	M1 (11)	172.76	85.7525	160-180,080-100	172.68	85.711	172.84	85.794
36	Diff net spacing	M1 (11)	172.91199999999998	84.6635	160-180,080-100	172.832	84.622	172.992	84.705
39	Diff net spacing	M1 (11)	229.152	89.0965	220-240,080-100	229.072	89.055	229.232	89.138
44	Diff net spacing	M1 (11)	88.4	94.6955	080-100,080-100	88.32	94.654	88.48	94.737
55	Diff net spacing	M1 (11)	192.824	114.7595	180-200,100-120	192.744	114.718	192.904	114.801
61	Diff net spacing	M1 (11)	232.344	109.1605	220-240,100-120	232.264	109.119	232.424	109.202
62	Diff net spacing	M1 (11)	37.024	125.8805	020-040,120-140	36.944	125.839	37.104	125.922
65	Diff net spacing	M1 (11)	198.904	119.1925	180-200,100-120	198.824	119.151	198.984	119.234
66	Diff net spacing	M1 (11)	233.40800000000002	119.1925	220-240,100-120	233.328	119.151	233.488	119.234
67	Diff net spacing	M1 (11)	238.272	122.5365	220-240,120-140	238.192	122.495	238.352	122.578
68	Diff net spacing	M1 (11)	231.584	121.4475	220-240,120-140	231.504	121.406	231.664	121.489
71	Diff net spacing	M1 (11)	248.30399999999997	124.7915	240-260,120-140	248.224	124.75	248.384	124.833
74	Diff net spacing	M1 (11)	257.272	129.22449999999998	240-260,120-140	257.192	129.183	257.352	129.266
76	Diff net spacing	M1 (11)	199.36	142.6005	180-200,140-160	199.28	142.559	199.44	142.642
77	Diff net spacing	M1 (11)	192.368	135.91250000000002	180-200,120-140	192.288	135.871	192.448	135.954
79	Diff net spacing	M1 (11)	252.10399999999998	135.91250000000002	240-260,120-140	252.024	135.871	252.184	135.954
84	Diff net spacing	M1 (11)	190.54399999999998	148.1995	180-200,140-160	190.464	148.158	190.624	148.241
90	Diff net spacing	M1 (11)	239.336	148.1995	220-240,140-160	239.256	148.158	239.416	148.241
91	Diff net spacing	M1 (11)	238.728	144.8555	220-240,140-160	238.648	144.814	238.808	144.897
92	Diff net spacing	M1 (11)	243.44	154.8875	240-260,140-160	243.36	154.846	243.52	154.929
93	Diff net spacing	M1 (11)	247.848	151.5435	240-260,140-160	247.768	151.502	247.928	151.585
94	Diff net spacing	M1 (11)	245.872	148.1995	240-260,140-160	245.792	148.158	245.952	148.241
95	Diff net spacing	M1 (11)	249.368	152.6325	240-260,140-160	249.288	152.591	249.448	152.674
96	Diff net spacing	M1 (11)	247.08800000000002	152.6325	240-260,140-160	247.008	152.591	247.168	152.674
97	Diff net spacing	M1 (11)	245.72	152.6325	240-260,140-160	245.64	152.591	245.8	152.674
102	Diff net spacing	M1 (11)	173.51999999999998	166.00850000000003	160-180,160-180	173.44	165.967	173.6	166.05
104	Diff net spacing	M1 (11)	188.72	159.32049999999998	180-200,140-160	188.64	159.279	188.8	159.362
107	Diff net spacing	M1 (11)	192.51999999999998	155.9765	180-200,140-160	192.44	155.935	192.6	156.018
110	Diff net spacing	M1 (11)	248.30399999999997	159.32049999999998	240-260,140-160	248.224	159.279	248.384	159.362
111	Diff net spacing	M1 (11)	245.264	158.23149999999998	240-260,140-160	245.184	158.19	245.344	158.273
114	Diff net spacing	M1 (11)	247.08800000000002	159.32049999999998	240-260,140-160	247.008	159.279	247.168	159.362
115	Diff net spacing	M1 (11)	249.368	155.9765	240-260,140-160	249.288	155.935	249.448	156.018
116	Diff net spacing	M1 (11)	172.76	171.60750000000002	160-180,160-180	172.68	171.566	172.84	171.649
142	Diff net spacing	M1 (11)	20.912	212.8245	020-040,200-220	20.832	212.783	20.992	212.866
151	Diff net spacing	M1 (11)	20.759999999999998	216.1685	020-040,200-220	20.68	216.127	20.84	216.21
152	Diff net spacing	M1 (11)	26.08	218.4235	020-040,200-220	26.0	218.382	26.16	218.465
153	Diff net spacing	M1 (11)	26.688000000000002	216.1685	020-040,200-220	26.608	216.127	26.768	216.21
154	Diff net spacing	M1 (11)	23.951999999999998	221.76749999999998	020-040,220-240	23.872	221.726	24.032	221.809
155	Diff net spacing	M1 (11)	22.128	222.85649999999998	020-040,220-240	22.048	222.815	22.208	222.898
173	Diff net spacing	M1 (11)	258.79200000000003	222.85649999999998	240-260,220-240	258.712	222.815	258.872	222.898
174	Diff net spacing	M1 (11)	20.607999999999997	229.5445	020-040,220-240	20.528	229.503	20.688	229.586
177	Diff net spacing	M1 (11)	192.976	239.5765	180-200,220-240	192.896	239.535	193.056	239.618
178	Diff net spacing	M1 (11)	199.36	232.88850000000002	180-200,220-240	199.28	232.847	199.44	232.93
179	Diff net spacing	M1 (11)	202.704	228.4555	200-220,220-240	202.624	228.414	202.784	228.497
180	Diff net spacing	M1 (11)	201.18400000000003	235.14350000000002	200-220,220-240	201.104	235.102	201.264	235.185
181	Diff net spacing	M1 (11)	201.488	228.4555	200-220,220-240	201.408	228.414	201.568	228.497
187	Diff net spacing	M1 (11)	224.288	238.4875	220-240,220-240	224.208	238.446	224.368	238.529
190	Diff net spacing	M1 (11)	216.688	236.23250000000002	200-220,220-240	216.608	236.191	216.768	236.274
191	Diff net spacing	M1 (11)	216.83999999999997	231.79950000000002	200-220,220-240	216.76	231.758	216.92	231.841
192	Diff net spacing	M1 (11)	219.272	231.79950000000002	200-220,220-240	219.192	231.758	219.352	231.841
193	Diff net spacing	M1 (11)	221.39999999999998	231.79950000000002	220-240,220-240	221.32	231.758	221.48	231.841
194	Diff net spacing	M1 (11)	220.64	236.23250000000002	220-240,220-240	220.56	236.191	220.72	236.274
195	Diff net spacing	M1 (11)	220.64	239.5765	220-240,220-240	220.56	239.535	220.72	239.618
196	Diff net spacing	M1 (11)	223.072	236.23250000000002	220-240,220-240	222.992	236.191	223.152	236.274
221	Diff net spacing	M1 (11)	257.728	239.5765	240-260,220-240	257.648	239.535	257.808	239.618
224	Diff net spacing	M1 (11)	261.68	236.23250000000002	260-280,220-240	261.6	236.191	261.76	236.274
225	Diff net spacing	M1 (11)	282.352	236.23250000000002	280-300,220-240	282.272	236.191	282.432	236.274
226	Diff net spacing	M1 (11)	278.248	239.5765	260-280,220-240	278.168	239.535	278.328	239.618
235	Diff net spacing	M1 (11)	182.94400000000002	249.6085	180-200,240-260	182.864	249.567	183.024	249.65
236	Diff net spacing	M1 (11)	215.168	242.9205	200-220,240-260	215.088	242.879	215.248	242.962
