error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
64	Off-grid	VIA1 (12)	177.293	219.576	160-180,200-220	177.268	219.475	177.318	219.677
65	Off-grid	M2 (13)	177.293	219.576	160-180,200-220	177.238	219.47	177.348	219.682
66	Off-grid	M2 (13)	205.742	221.704	200-220,220-240	205.712	221.573	205.772	221.835
67	Off-grid	VIA1 (12)	205.74200000000002	221.704	200-220,220-240	205.717	221.603	205.767	221.805
68	Off-grid	VIA1 (12)	237.20600000000002	226.264	220-240,220-240	237.181	226.163	237.231	226.365
69	Off-grid	M2 (13)	237.206	226.264	220-240,220-240	237.176	226.133	237.236	226.395
70	Off-grid	VIA1 (12)	238.397	216.232	220-240,200-220	238.372	216.131	238.422	216.333
71	Off-grid	M2 (13)	238.397	216.232	220-240,200-220	238.342	216.126	238.452	216.338
72	Off-grid	VIA1 (12)	238.397	219.576	220-240,200-220	238.372	219.475	238.422	219.677
73	Off-grid	VIA1 (12)	242.805	225.048	240-260,220-240	242.78	224.947	242.83	225.149
74	Off-grid	M2 (13)	242.805	225.048	240-260,220-240	242.75	224.942	242.86	225.154
77	Off-grid	VIA1 (12)	161.18099999999998	235.08	160-180,220-240	161.156	234.979	161.206	235.181
78	Off-grid	VIA1 (12)	224.74200000000002	228.392	220-240,220-240	224.717	228.291	224.767	228.493
79	Off-grid	VIA1 (12)	234.293	229.608	220-240,220-240	234.268	229.507	234.318	229.709
80	Off-grid	M2 (13)	234.293	229.608	220-240,220-240	234.238	229.502	234.348	229.714
81	Off-grid	M2 (13)	256.181	229.608	240-260,220-240	256.126	229.502	256.236	229.714
82	Off-grid	VIA1 (12)	256.18100000000004	229.608	240-260,220-240	256.156	229.507	256.206	229.709
83	Off-grid	VIA1 (12)	297.37300000000005	228.392	280-300,220-240	297.348	228.291	297.398	228.493
84	Off-grid	M2 (13)	297.373	228.392	280-300,220-240	297.318	228.286	297.428	228.498
85	Off-grid	M2 (13)	303.909	239.792	300-320,220-240	303.854	239.686	303.964	239.898
86	Off-grid	VIA1 (12)	303.909	239.792	300-320,220-240	303.884	239.691	303.934	239.893
87	Off-grid	VIA1 (12)	160.573	249.672	160-180,240-260	160.548	249.571	160.598	249.773
88	Off-grid	M2 (13)	160.57299999999998	249.672	160-180,240-260	160.518	249.566	160.628	249.778
89	Off-grid	VIA1 (12)	247.213	243.136	240-260,240-260	247.188	243.035	247.238	243.237
90	Off-grid	M2 (13)	247.213	243.136	240-260,240-260	247.158	243.03	247.268	243.242
91	Off-grid	VIA1 (12)	255.75	244.96	240-260,240-260	255.725	244.859	255.775	245.061
92	Off-grid	M2 (13)	255.75	244.96	240-260,240-260	255.72	244.829	255.78	245.091
93	Off-grid	VIA1 (12)	301.654	246.328	300-320,240-260	301.629	246.227	301.679	246.429
94	Off-grid	M2 (13)	301.654	246.328	300-320,240-260	301.624	246.197	301.684	246.459
95	Off-grid	M2 (13)	209.061	261.832	200-220,260-280	209.006	261.726	209.116	261.938
96	Off-grid	VIA1 (12)	209.061	261.832	200-220,260-280	209.036	261.731	209.086	261.933
97	Off-grid	VIA1 (12)	248.279	261.68	240-260,260-280	248.254	261.579	248.304	261.781
98	Off-grid	M2 (13)	248.304	261.68	240-260,260-280	248.274	261.625	248.334	261.735
99	Off-grid	VIA1 (12)	242.957	256.512	240-260,240-260	242.932	256.411	242.982	256.613
100	Off-grid	M2 (13)	242.957	256.512	240-260,240-260	242.902	256.406	243.012	256.618
101	Off-grid	VIA1 (12)	232.64600000000002	289.8	220-240,280-300	232.621	289.699	232.671	289.901
102	Off-grid	M2 (13)	232.64600000000002	289.79999999999995	220-240,280-300	232.616	289.669	232.676	289.931
75	Diff net spacing	M1 (11)	259.48400000000004	225.808	240-260,220-240	259.447	225.728	259.521	225.888
76	Diff net spacing	M2 (13)	259.56600000000003	225.732	240-260,220-240	259.494	225.697	259.638	225.767
