error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
65	Off-grid	VIA1 (12)	204.653	211.672	200-220,200-220	204.628	211.571	204.678	211.773
66	Off-grid	M2 (13)	204.65300000000002	211.672	200-220,200-220	204.598	211.566	204.708	211.778
67	Off-grid	VIA1 (12)	228.66899999999998	215.016	220-240,200-220	228.644	214.915	228.694	215.117
68	Off-grid	M2 (13)	228.66899999999998	215.01600000000002	220-240,200-220	228.614	214.91	228.724	215.122
69	Off-grid	M2 (13)	172.758	225.048	160-180,220-240	172.728	224.917	172.788	225.179
70	Off-grid	VIA1 (12)	172.75799999999998	225.048	160-180,220-240	172.733	224.947	172.783	225.149
71	Off-grid	VIA1 (12)	169.11	225.048	160-180,220-240	169.085	224.947	169.135	225.149
72	Off-grid	M2 (13)	169.11	225.048	160-180,220-240	169.08	224.917	169.14	225.179
73	Off-grid	VIA1 (12)	174.73399999999998	225.048	160-180,220-240	174.709	224.947	174.759	225.149
74	Off-grid	M2 (13)	174.734	225.048	160-180,220-240	174.704	224.917	174.764	225.179
75	Off-grid	M2 (13)	195.71	221.704	180-200,220-240	195.68	221.573	195.74	221.835
76	Off-grid	VIA1 (12)	195.71	221.704	180-200,220-240	195.685	221.603	195.735	221.805
77	Off-grid	M2 (13)	211.36599999999999	222.92	200-220,220-240	211.336	222.789	211.396	223.051
78	Off-grid	VIA1 (12)	211.36599999999999	222.92	200-220,220-240	211.341	222.819	211.391	223.021
79	Off-grid	M2 (13)	225.325	226.264	220-240,220-240	225.27	226.158	225.38	226.37
80	Off-grid	VIA1 (12)	225.325	226.264	220-240,220-240	225.3	226.163	225.35	226.365
81	Off-grid	M2 (13)	216.965	218.36	200-220,200-220	216.91	218.254	217.02	218.466
82	Off-grid	VIA1 (12)	216.965	218.36	200-220,200-220	216.94	218.259	216.99	218.461
83	Off-grid	M2 (13)	234.59699999999998	222.92000000000002	220-240,220-240	234.542	222.814	234.652	223.026
84	Off-grid	VIA1 (12)	234.597	222.92	220-240,220-240	234.572	222.819	234.622	223.021
87	Off-grid	M2 (13)	268.21400000000006	226.264	260-280,220-240	268.184	226.133	268.244	226.395
88	Off-grid	VIA1 (12)	268.214	226.264	260-280,220-240	268.189	226.163	268.239	226.365
91	Off-grid	VIA1 (12)	298.462	245.112	280-300,240-260	298.437	245.011	298.487	245.213
92	Off-grid	M2 (13)	298.462	245.112	280-300,240-260	298.432	244.981	298.492	245.243
93	Off-grid	VIA1 (12)	186.74200000000002	256.36	180-200,240-260	186.717	256.259	186.767	256.461
94	Off-grid	M2 (13)	186.742	256.36	180-200,240-260	186.712	256.229	186.772	256.491
95	Off-grid	M2 (13)	211.062	253.016	200-220,240-260	211.032	252.885	211.092	253.147
96	Off-grid	VIA1 (12)	211.062	253.016	200-220,240-260	211.037	252.915	211.087	253.117
