error_id	error_type	error_layer	cx	cy	cell	pin	access_status	access_x	access_y	distance
51	Off-grid	M2 (13)	211.518	212.888	u_core/core_i/U4256	A2	Routable	211.5200	212.8880	0.002000
52	Off-grid	VIA1 (12)	238.118	212.888	u_core/core_i/U2548	A2	Routable	238.1200	212.8880	0.002000
53	Off-grid	M2 (13)	238.118	212.888	u_core/core_i/U2548	A2	Routable	238.1200	212.8880	0.002000
54	Off-grid	VIA1 (12)	232.773	204.984	u_core/core_i/U4234	A2	Routable	232.8000	204.9490	0.044204
55	Off-grid	M2 (13)	232.773	204.98399999999998	u_core/core_i/U4234	A2	Routable	232.8000	204.9490	0.044204
56	Off-grid	VIA1 (12)	244.477	206.2	u_core/core_i/U2033	A2	Routable	244.5040	206.2000	0.027000
57	Off-grid	M2 (13)	244.477	206.2	u_core/core_i/U2033	A2	Routable	244.5040	206.2000	0.027000
58	Off-grid	VIA1 (12)	246.909	209.544	u_core/core_i/U2150	A2	Routable	246.9360	209.5440	0.027000
59	Off-grid	M2 (13)	246.909	209.54399999999998	u_core/core_i/U2150	A2	Routable	246.9360	209.5440	0.027000
60	Off-grid	VIA1 (12)	245.997	215.016	u_core/core_i/U2618	A2	Routable	246.0240	214.9810	0.044204
61	Off-grid	M2 (13)	245.997	215.01600000000002	u_core/core_i/U2618	A2	Routable	246.0240	214.9810	0.044204
62	Off-grid	VIA1 (12)	176.25400000000002	226.264	u_core/core_i/U927	A2	Routable	176.2560	226.2640	0.002000
63	Off-grid	M2 (13)	176.254	226.264	u_core/core_i/U927	A2	Routable	176.2560	226.2640	0.002000
64	Off-grid	VIA1 (12)	177.293	219.576	u_core/core_i/U937	A2	Routable	177.3200	219.5760	0.027000
65	Off-grid	M2 (13)	177.293	219.576	u_core/core_i/U937	A2	Routable	177.3200	219.5760	0.027000
66	Off-grid	M2 (13)	205.742	221.704	u_core/core_i/U4246	A2	Routable	205.7440	221.6690	0.035057
67	Off-grid	VIA1 (12)	205.74200000000002	221.704	u_core/core_i/U4246	A2	Routable	205.7440	221.6690	0.035057
68	Off-grid	VIA1 (12)	237.20600000000002	226.264	u_core/core_i/U1778	A2	Routable	237.2080	226.2640	0.002000
69	Off-grid	M2 (13)	237.206	226.264	u_core/core_i/U1778	A2	Routable	237.2080	226.2640	0.002000
70	Off-grid	VIA1 (12)	238.397	216.232	u_core/core_i/U2690	A2	Routable	238.4240	216.2320	0.027000
71	Off-grid	M2 (13)	238.397	216.232	u_core/core_i/U2690	A2	Routable	238.4240	216.2320	0.027000
72	Off-grid	VIA1 (12)	238.397	219.576	u_core/core_i/U2470	A2	Routable	238.4240	219.5760	0.027000
73	Off-grid	VIA1 (12)	242.805	225.048	u_core/core_i/U3879	A2	Routable	242.8320	225.0130	0.044204
74	Off-grid	M2 (13)	242.805	225.048	u_core/core_i/U3879	A2	Routable	242.8320	225.0130	0.044204
77	Off-grid	VIA1 (12)	161.18099999999998	235.08	u_core/core_i/U2032	A2	Routable	161.2080	235.0450	0.044204
