ref_name	cell_name	pin_name	x	y	bucket50	line_no	point_index
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.3775	250-300,000-050	79	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.3607	250-300,000-050	79	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][32]	Q	260.312	186.592	250-300,150-200	80	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.2305	250-300,150-200	81	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.264	250-300,150-200	81	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.2472	250-300,150-200	81	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.2625	250-300,150-200	82	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.296	250-300,150-200	82	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.2792	250-300,150-200	82	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][4]	Q	300.288	223.376	300-350,200-250	83	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.2985	250-300,200-250	84	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.336	250-300,200-250	84	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.3172	250-300,200-250	84	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.468	300-350,200-250	85	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.488	300-350,200-250	85	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.478	300-350,200-250	85	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][61]	QN	299.68	139.928	250-300,100-150	86	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.536	300-350,200-250	87	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.5405	300-350,200-250	87	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.5382	300-350,200-250	87	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.532	250-300,200-250	88	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.552	250-300,200-250	88	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.542	250-300,200-250	88	3
