ref_name	cell_name	pin_name	point_x	point_y	point_bucket50	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket50	distance_um
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.6800	37.7672	250-300,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	46.8885
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.2880	32.3120	300-350,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	52.3767
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.2880	32.3455	300-350,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	52.3434
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.2880	32.3287	300-350,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	52.3601
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[14]	Q	299.6800	23.9520	250-300,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	60.6564
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.2880	25.6240	300-350,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	59.0375
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.2880	25.6575	300-350,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	59.0041
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.2880	25.6407	300-350,000-050	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	59.0208
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.6800	73.8080	250-300,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	11.5169
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.6800	73.8455	250-300,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	11.4823
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.6800	73.8267	250-300,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	11.4997
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.2880	73.6560	300-350,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	11.9007
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.2880	73.6760	300-350,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	11.8826
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.2880	73.6660	300-350,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	11.8917
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.2880	85.8160	300-350,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	5.1992
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.2880	85.8495	300-350,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	5.2081
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.2880	85.8327	300-350,050-100	58	Needs fat contact	M1 (11)-M2 (13)	295.2720	84.4480	250-300,050-100	5.2036
