name	cx	cy	layers	half_size	net_types	reason
or2x4_a2_via1_block_1	25.9280	22.3950	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_7	212.7360	61.0400	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_19	294.5120	131.2640	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_21	227.4800	158.0160	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_29	191.0000	213.0030	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_30	195.5600	206.3150	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_32	170.3280	224.8960	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_33	179.2960	216.3470	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
or2x4_a2_via1_block_34	175.8000	223.0350	VIA1	0.025	signal scan clock reset	OR2X4_A2_no_default_track_center
