error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Off-grid	M2 (13)	28.637	20.912	020-040,020-040	28.582	20.806	28.692	21.018
1	Off-grid	VIA1 (12)	28.637	20.912	020-040,020-040	28.612	20.811	28.662	21.013
2	Off-grid	VIA1 (12)	21.366	22.28	020-040,020-040	21.341	22.179	21.391	22.381
3	Off-grid	M2 (13)	21.366	22.28	020-040,020-040	21.336	22.149	21.396	22.411
4	Off-grid	M2 (13)	296.765	31.096	280-300,020-040	296.71	30.99	296.82	31.202
5	Off-grid	VIA1 (12)	296.765	31.096	280-300,020-040	296.74	30.995	296.79	31.197
6	Off-grid	VIA1 (12)	69.094	34.44	060-080,020-040	69.069	34.339	69.119	34.541
7	Off-grid	M2 (13)	69.094	34.44	060-080,020-040	69.064	34.309	69.124	34.571
8	Off-grid	VIA1 (12)	69.82900000000001	37.784	060-080,020-040	69.804	37.683	69.854	37.885
9	Off-grid	VIA1 (12)	30.157	51.16	020-040,040-060	30.132	51.059	30.182	51.261
10	Off-grid	M2 (13)	30.157	51.16	020-040,040-060	30.102	51.054	30.212	51.266
11	Off-grid	VIA1 (12)	202.221	57.696	200-220,040-060	202.196	57.595	202.246	57.797
12	Off-grid	M2 (13)	202.221	57.696	200-220,040-060	202.166	57.59	202.276	57.802
13	Off-grid	VIA1 (12)	215.445	52.376	200-220,040-060	215.42	52.275	215.47	52.477
14	Off-grid	M2 (13)	215.445	52.376000000000005	200-220,040-060	215.39	52.27	215.5	52.482
15	Off-grid	VIA1 (12)	68.03	62.408	060-080,060-080	68.005	62.307	68.055	62.509
16	Off-grid	M2 (13)	68.03	62.408	060-080,060-080	68.0	62.277	68.06	62.539
17	Off-grid	VIA1 (12)	67.118	64.536	060-080,060-080	67.093	64.435	67.143	64.637
18	Off-grid	M2 (13)	67.118	64.536	060-080,060-080	67.088	64.405	67.148	64.667
19	Off-grid	VIA1 (12)	297.702	82.472	280-300,080-100	297.677	82.371	297.727	82.573
20	Off-grid	M2 (13)	297.702	82.472	280-300,080-100	297.672	82.341	297.732	82.603
21	Off-grid	VIA1 (12)	289.494	94.632	280-300,080-100	289.469	94.531	289.519	94.733
22	Off-grid	M2 (13)	289.494	94.632	280-300,080-100	289.464	94.501	289.524	94.763
23	Off-grid	VIA1 (12)	52.349000000000004	108.008	040-060,100-120	52.324	107.907	52.374	108.109
24	Off-grid	M2 (13)	52.349000000000004	108.00800000000001	040-060,100-120	52.294	107.902	52.404	108.114
25	Off-grid	VIA1 (12)	55.085	109.224	040-060,100-120	55.06	109.123	55.11	109.325
26	Off-grid	M2 (13)	55.085	109.22399999999999	040-060,100-120	55.03	109.118	55.14	109.33
27	Off-grid	VIA1 (12)	55.566	108.008	040-060,100-120	55.541	107.907	55.591	108.109
28	Off-grid	M2 (13)	55.566	108.008	040-060,100-120	55.536	107.877	55.596	108.139
29	Off-grid	M1 (11)	200.728	121.384	200-220,120-140	200.673	121.354	200.783	121.414
30	Off-grid	M1 (11)	200.88	122.6	200-220,120-140	200.825	122.57	200.935	122.63
31	Off-grid	VIA1 (12)	271.22900000000004	129.288	260-280,120-140	271.204	129.187	271.254	129.389
32	Off-grid	M2 (13)	271.229	129.288	260-280,120-140	271.174	129.182	271.284	129.394
33	Off-grid	VIA1 (12)	296.613	119.408	280-300,100-120	296.588	119.307	296.638	119.509
34	Off-grid	M2 (13)	296.613	119.408	280-300,100-120	296.558	119.302	296.668	119.514
35	Off-grid	VIA1 (12)	208.478	131.416	200-220,120-140	208.453	131.315	208.503	131.517
36	Off-grid	M2 (13)	208.478	131.416	200-220,120-140	208.448	131.285	208.508	131.547
37	Off-grid	VIA1 (12)	245.085	132.632	240-260,120-140	245.06	132.531	245.11	132.733
38	Off-grid	M2 (13)	245.08499999999998	132.632	240-260,120-140	245.03	132.526	245.14	132.738
39	Off-grid	VIA1 (12)	246.022	131.416	240-260,120-140	245.997	131.315	246.047	131.517
40	Off-grid	M2 (13)	246.022	131.416	240-260,120-140	245.992	131.285	246.052	131.547
41	Off-grid	VIA1 (12)	275.66200000000003	134.76	260-280,120-140	275.637	134.659	275.687	134.861
42	Off-grid	M2 (13)	275.66200000000003	134.76	260-280,120-140	275.632	134.629	275.692	134.891
43	Off-grid	M2 (13)	264.693	138.10399999999998	260-280,120-140	264.638	137.998	264.748	138.21
44	Off-grid	VIA1 (12)	264.693	138.10399999999998	260-280,120-140	264.668	138.003	264.718	138.205
45	Off-grid	VIA1 (12)	187.62900000000002	152.696	180-200,140-160	187.604	152.595	187.654	152.797
46	Off-grid	M2 (13)	187.62900000000002	152.696	180-200,140-160	187.574	152.59	187.684	152.802
