tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	113	Diff net spacing	M1 (11)	131.796	248.45600000000002	120-140,240-260	131.767	248.376	131.825	248.536
Diff_net_spacing_M7_(23)_1	117	Diff net spacing	M7 (23)	171.392	247.461	160-180,240-260	167.569	247.38	175.215	247.542
Off-grid_M1_(11)_1	29	Off-grid	M1 (11)	200.728	121.384	200-220,120-140	200.673	121.354	200.783	121.414
Off-grid_M1_(11)_2	30	Off-grid	M1 (11)	200.88	122.6	200-220,120-140	200.825	122.57	200.935	122.63
Off-grid_M1_(11)_3	73	Off-grid	M1 (11)	259.704	222.92	240-260,220-240	259.649	222.89	259.759	222.95
Off-grid_M2_(13)_1	0	Off-grid	M2 (13)	28.637	20.912	020-040,020-040	28.582	20.806	28.692	21.018
Off-grid_M2_(13)_2	3	Off-grid	M2 (13)	21.366	22.28	020-040,020-040	21.336	22.149	21.396	22.411
Off-grid_M2_(13)_3	4	Off-grid	M2 (13)	296.765	31.096	280-300,020-040	296.71	30.99	296.82	31.202
Off-grid_VIA1_(12)_1	1	Off-grid	VIA1 (12)	28.637	20.912	020-040,020-040	28.612	20.811	28.662	21.013
Off-grid_VIA1_(12)_2	2	Off-grid	VIA1 (12)	21.366	22.28	020-040,020-040	21.341	22.179	21.391	22.381
Off-grid_VIA1_(12)_3	5	Off-grid	VIA1 (12)	296.765	31.096	280-300,020-040	296.74	30.995	296.79	31.197
Hotspot_220to240_240to260_1	122	Off-grid	M2 (13)	223.65300000000002	249.672	220-240,240-260	223.598	249.566	223.708	249.778
Hotspot_220to240_240to260_2	123	Off-grid	VIA1 (12)	223.653	249.672	220-240,240-260	223.628	249.571	223.678	249.773
Hotspot_220to240_240to260_3	124	Off-grid	M1 (11)	225.899	249.522	220-240,240-260	225.783	249.49	226.015	249.554
Hotspot_220to240_220to240_1	63	Off-grid	VIA1 (12)	225.477	226.264	220-240,220-240	225.452	226.163	225.502	226.365
Hotspot_220to240_220to240_2	64	Off-grid	M2 (13)	225.477	226.264	220-240,220-240	225.422	226.158	225.532	226.37
Hotspot_220to240_220to240_3	65	Off-grid	VIA1 (12)	226.997	226.264	220-240,220-240	226.972	226.163	227.022	226.365
Hotspot_120to140_240to260_1	106	Off-grid	VIA1 (12)	130.654	241.61599999999999	120-140,240-260	130.629	241.515	130.679	241.717
Hotspot_120to140_240to260_2	107	Off-grid	M2 (13)	130.654	241.616	120-140,240-260	130.624	241.485	130.684	241.747
Hotspot_120to140_240to260_3	108	Off-grid	M1 (11)	123.66399999999999	251.8	120-140,240-260	123.609	251.77	123.719	251.83
Hotspot_240to260_220to240_1	71	Off-grid	VIA1 (12)	244.02100000000002	226.264	240-260,220-240	243.996	226.163	244.046	226.365
Hotspot_240to260_220to240_2	72	Off-grid	M2 (13)	244.02100000000002	226.264	240-260,220-240	243.966	226.158	244.076	226.37
Hotspot_040to060_100to120_1	23	Off-grid	VIA1 (12)	52.349000000000004	108.008	040-060,100-120	52.324	107.907	52.374	108.109
Hotspot_040to060_100to120_2	24	Off-grid	M2 (13)	52.349000000000004	108.00800000000001	040-060,100-120	52.294	107.902	52.404	108.114
Hotspot_040to060_100to120_3	25	Off-grid	VIA1 (12)	55.085	109.224	040-060,100-120	55.06	109.123	55.11	109.325
