cell_name	pin_name	point_x	point_y	point_bucket20	point_inside_hotspot	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket20	nearest_inside_hotspot	distance_um
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.2880	235.5360	300-320,220-240	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	7.0766
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.2880	235.5405	300-320,220-240	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	7.0727
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.2880	235.5382	300-320,220-240	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	7.0747
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.6800	240.5320	280-300,240-260	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	4.3657
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.6800	240.5520	280-300,240-260	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	4.3608
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.6800	240.5420	280-300,240-260	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	4.3632
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.5280	242.5235	280-300,240-260	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	4.4740
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.5280	242.5280	280-300,240-260	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	4.4749
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.5280	242.5257	280-300,240-260	no	299	Off-grid	M2 (13)	303.9090	241.6160	300-320,240-260	no	4.4745
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.2880	179.4480	300-320,160-180	no	133	Diff net spacing	M2 (13)	259.5660	168.7320	240-260,160-180	no	42.1084
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.2880	179.4815	300-320,160-180	no	133	Diff net spacing	M2 (13)	259.5660	168.7320	240-260,160-180	no	42.1169
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.2880	179.4647	300-320,160-180	no	133	Diff net spacing	M2 (13)	259.5660	168.7320	240-260,160-180	no	42.1126
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.2880	154.7905	300-320,140-160	no	82	Short	M1 (11)	301.5800	121.8400	300-320,120-140	no	32.9758
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.2880	154.8240	300-320,140-160	no	82	Short	M1 (11)	301.5800	121.8400	300-320,120-140	no	33.0093
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.2880	154.8072	300-320,140-160	no	82	Short	M1 (11)	301.5800	121.8400	300-320,120-140	no	32.9925
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][54]	CLK	239.6400	150.5680	220-240,140-160	no	98	Diff net spacing	M1 (11)	240.7040	148.1995	240-260,140-160	no	2.5965
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][54]	CLK	239.6400	150.5780	220-240,140-160	no	98	Diff net spacing	M1 (11)	240.7040	148.1995	240-260,140-160	no	2.6056
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][57]	CLK	240.4000	143.8800	240-260,140-160	no	97	Diff net spacing	M1 (11)	237.8160	144.8555	220-240,140-160	no	2.7620
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][57]	CLK	240.4000	143.8900	240-260,140-160	no	97	Diff net spacing	M1 (11)	237.8160	144.8555	220-240,140-160	no	2.7585
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.4640	195.7075	260-280,180-200	yes	152	Off-grid	VIA1 (12)	242.3490	202.8560	240-260,200-220	yes	19.4745
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.4640	195.7120	260-280,180-200	yes	152	Off-grid	VIA1 (12)	242.3490	202.8560	240-260,200-220	yes	19.4728
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.4640	195.7097	260-280,180-200	yes	152	Off-grid	VIA1 (12)	242.3490	202.8560	240-260,200-220	yes	19.4736
u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.7040	95.0880	240-260,080-100	no	57	Diff net spacing	M2 (13)	259.5660	95.1640	240-260,080-100	no	0.1575
u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.7040	95.0925	240-260,080-100	no	57	Diff net spacing	M2 (13)	259.5660	95.1640	240-260,080-100	no	0.1554
u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.7040	95.0902	240-260,080-100	no	57	Diff net spacing	M2 (13)	259.5660	95.1640	240-260,080-100	no	0.1565
u_core/core_i/ex_stage_i/alu_i/alu_div_i/BReg_DP_reg[21]	CLK	239.6400	277.6400	220-240,260-280	no	368	Diff net spacing	M1 (11)	241.0080	271.9275	240-260,260-280	no	5.8740
u_core/core_i/ex_stage_i/alu_i/alu_div_i/BReg_DP_reg[21]	CLK	239.6400	277.6500	220-240,260-280	no	368	Diff net spacing	M1 (11)	241.0080	271.9275	240-260,260-280	no	5.8837
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.5280	95.3875	280-300,080-100	no	48	Diff net spacing	M1 (11)	294.5120	91.3515	280-300,080-100	no	6.4381
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.5280	95.3920	280-300,080-100	no	48	Diff net spacing	M1 (11)	294.5120	91.3515	280-300,080-100	no	6.4410
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.5280	95.3897	280-300,080-100	no	48	Diff net spacing	M1 (11)	294.5120	91.3515	280-300,080-100	no	6.4395
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/flush_cnt_q_reg[1]	Q	299.6800	126.4000	280-300,120-140	no	82	Short	M1 (11)	301.5800	121.8400	300-320,120-140	no	4.9400
u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.7040	292.6835	240-260,280-300	no	396	Needs fat contact	M1 (11)-M2 (13)	257.8800	289.9520	240-260,280-300	no	3.2845
u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.7040	292.6880	240-260,280-300	no	396	Needs fat contact	M1 (11)-M2 (13)	257.8800	289.9520	240-260,280-300	no	3.2883
u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.7040	292.6857	240-260,280-300	no	396	Needs fat contact	M1 (11)-M2 (13)	257.8800	289.9520	240-260,280-300	no	3.2863
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.5520	252.2560	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.9513
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.5520	252.2605	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.9550
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.5520	252.2582	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.9531
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.5520	245.8675	240-260,240-260	yes	284	Needs fat contact	M1 (11)-M2 (13)	257.4240	248.3040	240-260,240-260	yes	3.2350
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.5520	245.8720	240-260,240-260	yes	284	Needs fat contact	M1 (11)-M2 (13)	257.4240	248.3040	240-260,240-260	yes	3.2316
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.5520	245.8697	240-260,240-260	yes	284	Needs fat contact	M1 (11)-M2 (13)	257.4240	248.3040	240-260,240-260	yes	3.2333
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[14]	QN	259.7040	236.9040	240-260,220-240	yes	236	Diff net spacing	M1 (11)	262.4400	236.2325	260-280,220-240	yes	2.8172
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[16]	QN	259.7040	237.8160	240-260,220-240	yes	234	Off-grid	VIA1 (12)	256.7890	238.4240	240-260,220-240	yes	2.9777
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.5520	252.5555	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	3.2026
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.5520	252.5600	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	3.2064
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.5520	252.5577	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	3.2045
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.4640	248.9120	260-280,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.7402
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.4640	248.9165	260-280,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.7387
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.4640	248.9142	260-280,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.7395
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.6800	103.2585	280-300,100-120	no	58	Off-grid	VIA1 (12)	290.5330	106.0320	280-300,100-120	no	9.5582
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.6800	103.2960	280-300,100-120	no	58	Off-grid	VIA1 (12)	290.5330	106.0320	280-300,100-120	no	9.5474
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.6800	103.2772	280-300,100-120	no	58	Off-grid	VIA1 (12)	290.5330	106.0320	280-300,100-120	no	9.5528
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.2880	103.4280	300-320,100-120	no	58	Off-grid	VIA1 (12)	290.5330	106.0320	280-300,100-120	no	10.0966
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.2880	103.4480	300-320,100-120	no	58	Off-grid	VIA1 (12)	290.5330	106.0320	280-300,100-120	no	10.0914
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.2880	103.4380	300-320,100-120	no	58	Off-grid	VIA1 (12)	290.5330	106.0320	280-300,100-120	no	10.0940
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[8]	Q	299.6800	69.5520	280-300,060-080	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	11.1500
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[10]	Q	300.2880	44.0160	300-320,040-060	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	22.9097
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.6800	37.7505	280-300,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	28.4070
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.6800	37.7840	280-300,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	28.3756
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.6800	37.7672	280-300,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	28.3913
u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.2880	32.3120	300-320,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	33.7433
u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.2880	32.3455	300-320,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	33.7115
u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.2880	32.3287	300-320,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	33.7274
u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[14]	Q	299.6800	23.9520	280-300,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	41.6216
u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.2880	25.6240	300-320,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	40.1539
u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.2880	25.6575	300-320,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	40.1216
u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.2880	25.6407	300-320,020-040	no	25	Needs fat contact	M1 (11)-M2 (13)	289.8000	64.3840	280-300,060-080	no	40.1378
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.6800	73.8080	280-300,060-080	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	8.5917
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.6800	73.8455	280-300,060-080	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	8.5592
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.6800	73.8267	280-300,060-080	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	8.5755
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.2880	73.6560	300-320,060-080	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	9.0378
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.2880	73.6760	300-320,060-080	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	9.0210
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.2880	73.6660	300-320,060-080	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	9.0294
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.2880	85.8160	300-320,080-100	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	6.6870
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.2880	85.8495	300-320,080-100	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	6.7099
u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.2880	85.8327	300-320,080-100	no	32	Off-grid	VIA1 (12)	295.3970	81.2560	280-300,080-100	no	6.6984
