ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_a_ex_o_reg[22]	CLK	80.344	200.748	080-100,200-220	no	52	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_a_ex_o_reg[22]	CLK	80.344	200.738	080-100,200-220	no	52	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[2]	RSTB	180.36	208.784	180-200,200-220	no	53	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[2]	RSTB	180.36	208.7885	180-200,200-220	no	53	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[2]	RSTB	180.36	208.7862	180-200,200-220	no	53	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[15]	CLK	160.448	214.104	160-180,200-220	no	54	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[15]	CLK	160.448	214.114	160-180,200-220	no	54	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[12]	Q	80.344	199.968	080-100,180-200	no	55	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[26]	SE	80.344	202.856	080-100,200-220	no	56	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[26]	SE	80.344	202.8895	080-100,200-220	no	56	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[26]	SE	80.344	202.8727	080-100,200-220	no	56	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[5][29]	SE	199.664	174.8545	180-200,160-180	no	57	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[5][29]	SE	199.664	174.888	180-200,160-180	no	57	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[5][29]	SE	199.664	174.8712	180-200,160-180	no	57	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[2][29]	SI	119.712	170.784	100-120,160-180	no	58	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[2][29]	SI	119.712	170.8215	100-120,160-180	no	58	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[2][29]	SI	119.712	170.8027	100-120,160-180	no	58	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[2][29]	CLK	120.32	170.632	120-140,160-180	no	59	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[2][29]	CLK	120.32	170.652	120-140,160-180	no	59	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[2][29]	CLK	120.32	170.642	120-140,160-180	no	59	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_b_ex_o_reg[20]	RSTB	100.408	212.4275	100-120,200-220	no	60	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_b_ex_o_reg[20]	RSTB	100.408	212.432	100-120,200-220	no	60	2
