ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/regfile_alu_waddr_ex_o_reg[0]	CLK	199.664	100.418	180-200,100-120	no	56	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_b_ex_o_reg[25]	Q	80.344	226.72	080-100,220-240	no	57	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/regfile_alu_waddr_ex_o_reg[3]	Q	199.664	96.304	180-200,080-100	no	58	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[18]	Q	59.672	231.28	040-060,220-240	no	59	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[17]	CLK	59.672	244.2	040-060,240-260	no	60	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[17]	CLK	59.672	244.22	040-060,240-260	no	60	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[17]	CLK	59.672	244.21	040-060,240-260	no	60	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[7]	Q	59.672	256.816	040-060,240-260	no	61	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[25]	Q	59.672	223.376	040-060,220-240	no	62	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[1]	CLK	59.672	237.188	040-060,220-240	no	63	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[1]	CLK	59.672	237.208	040-060,220-240	no	63	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_c_ex_o_reg[1]	CLK	59.672	237.198	040-060,220-240	no	63	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][0]	SE	80.344	161.4785	080-100,160-180	no	64	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][0]	SE	80.344	161.512	080-100,160-180	no	64	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][0]	SE	80.344	161.4952	080-100,160-180	no	64	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][20]	RSTB	80.344	148.8915	080-100,140-160	no	65	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][20]	RSTB	80.344	148.896	080-100,140-160	no	65	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][20]	RSTB	80.344	148.8937	080-100,140-160	no	65	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[4]	SE	59.672	269.736	040-060,260-280	no	66	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[4]	SE	59.672	269.7695	040-060,260-280	no	66	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[4]	SE	59.672	269.7527	040-060,260-280	no	66	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]	SE	59.672	283.112	040-060,280-300	no	67	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]	SE	59.672	283.1455	040-060,280-300	no	67	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]	SE	59.672	283.1287	040-060,280-300	no	67	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[20]	CLK	59.672	250.888	040-060,240-260	no	68	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[20]	CLK	59.672	250.908	040-060,240-260	no	68	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[20]	CLK	59.672	250.898	040-060,240-260	no	68	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[6]	RSTB	60.432	262.288	060-080,260-280	no	69	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[6]	RSTB	60.432	262.2925	060-080,260-280	no	69	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[6]	RSTB	60.432	262.2902	060-080,260-280	no	69	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operator_ex_o_reg[2]	SE	199.664	181.5425	180-200,180-200	no	70	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operator_ex_o_reg[2]	SE	199.664	181.576	180-200,180-200	no	70	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operator_ex_o_reg[2]	SE	199.664	181.5592	180-200,180-200	no	70	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mstatus_q_reg[mpie]	RSTB	199.664	85.056	180-200,080-100	no	71	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mstatus_q_reg[mpie]	RSTB	199.664	85.0605	180-200,080-100	no	71	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mstatus_q_reg[mpie]	RSTB	199.664	85.0582	180-200,080-100	no	71	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[20]	CLK	259.704	73.332	240-260,060-080	no	72	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[20]	CLK	259.704	73.352	240-260,060-080	no	72	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[20]	CLK	259.704	73.342	240-260,060-080	no	72	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[19]	RSTB	260.464	64.992	260-280,060-080	no	73	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[19]	RSTB	260.464	64.9965	260-280,060-080	no	73	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[19]	RSTB	260.464	64.9942	260-280,060-080	no	73	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[18]	SI	259.704	67.12	240-260,060-080	no	74	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[18]	SI	259.704	67.1575	240-260,060-080	no	74	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[18]	SI	259.704	67.1387	240-260,060-080	no	74	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[18]	CLK	260.312	66.968	260-280,060-080	no	75	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[18]	CLK	260.312	66.988	260-280,060-080	no	75	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[18]	CLK	260.312	66.978	260-280,060-080	no	75	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[25]	RSTB	259.704	95.088	240-260,080-100	no	76	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[25]	RSTB	259.704	95.0925	240-260,080-100	no	76	2
