error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
64	Off-grid	M2 (13)	251.494	152.696	240-260,140-160	251.464	152.565	251.524	152.827
65	Off-grid	VIA1 (12)	294.485	144.64	280-300,140-160	294.46	144.539	294.51	144.741
66	Off-grid	M2 (13)	294.485	144.64	280-300,140-160	294.43	144.534	294.54	144.746
67	Off-grid	M2 (13)	207.718	178.232	200-220,160-180	207.688	178.101	207.748	178.363
68	Off-grid	VIA1 (12)	207.71800000000002	178.232	200-220,160-180	207.693	178.131	207.743	178.333
69	Off-grid	VIA1 (12)	232.773	184.768	220-240,180-200	232.748	184.667	232.798	184.869
70	Off-grid	M2 (13)	232.773	184.768	220-240,180-200	232.718	184.662	232.828	184.874
71	Off-grid	M2 (13)	232.013	192.824	220-240,180-200	231.958	192.718	232.068	192.93
72	Off-grid	VIA1 (12)	232.013	192.824	220-240,180-200	231.988	192.723	232.038	192.925
73	Off-grid	VIA1 (12)	220.613	222.92	220-240,220-240	220.588	222.819	220.638	223.021
74	Off-grid	M2 (13)	236.294	225.048	220-240,220-240	236.264	224.917	236.324	225.179
75	Off-grid	VIA1 (12)	236.29399999999998	225.048	220-240,220-240	236.269	224.947	236.319	225.149
76	Off-grid	VIA1 (12)	127.743	236.448	120-140,220-240	127.718	236.347	127.768	236.549
77	Off-grid	M2 (13)	127.768	236.44799999999998	120-140,220-240	127.738	236.393	127.798	236.503
78	Off-grid	VIA1 (12)	131.997	239.792	120-140,220-240	131.972	239.691	132.022	239.893
79	Off-grid	M2 (13)	131.997	239.792	120-140,220-240	131.942	239.686	132.052	239.898
80	Off-grid	VIA1 (12)	40.644999999999996	245.112	040-060,240-260	40.62	245.011	40.67	245.213
81	Off-grid	M2 (13)	40.645	245.112	040-060,240-260	40.59	245.006	40.7	245.218
82	Off-grid	VIA1 (12)	125.334	249.824	120-140,240-260	125.309	249.723	125.359	249.925
83	Off-grid	M2 (13)	125.334	249.824	120-140,240-260	125.304	249.693	125.364	249.955
84	Off-grid	VIA1 (12)	200.701	251.8	200-220,240-260	200.676	251.699	200.726	251.901
85	Off-grid	M2 (13)	214.22899999999998	248.45600000000002	200-220,240-260	214.174	248.35	214.284	248.562
86	Off-grid	VIA1 (12)	214.22899999999998	248.456	200-220,240-260	214.204	248.355	214.254	248.557
87	Off-grid	M2 (13)	210.15	251.8	200-220,240-260	210.12	251.669	210.18	251.931
88	Off-grid	VIA1 (12)	210.15	251.8	200-220,240-260	210.125	251.699	210.175	251.901
89	Off-grid	M2 (13)	213.342	251.8	200-220,240-260	213.312	251.669	213.372	251.931
90	Off-grid	VIA1 (12)	213.34199999999998	251.8	200-220,240-260	213.317	251.699	213.367	251.901
91	Off-grid	VIA1 (12)	215.597	249.672	200-220,240-260	215.572	249.571	215.622	249.773
