tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Off-grid_M2_13_48	48	Off-grid	M2 (13)	220.819	192.824	220-240,180-200	220.7640	192.7180	220.8740	192.9300
Off-grid_VIA1_12_49	49	Off-grid	VIA1 (12)	227.301	198.296	220-240,180-200	227.2760	198.1950	227.3260	198.3970
Off-grid_M2_13_50	50	Off-grid	M2 (13)	227.301	198.296	220-240,180-200	227.2460	198.1900	227.3560	198.4020
Off-grid_VIA1_12_51	51	Off-grid	VIA1 (12)	224.134	194.952	220-240,180-200	224.1090	194.8510	224.1590	195.0530
Off-grid_M2_13_52	52	Off-grid	M2 (13)	224.134	194.952	220-240,180-200	224.1040	194.8210	224.1640	195.0830
Off-grid_M2_13_53	53	Off-grid	M2 (13)	192.493	206.2	180-200,200-220	192.4380	206.0940	192.5480	206.3060
Off-grid_VIA1_12_54	54	Off-grid	VIA1 (12)	192.493	206.2	180-200,200-220	192.4680	206.0990	192.5180	206.3010
Off-grid_M2_13_55	55	Off-grid	M2 (13)	199.387	204.984	180-200,200-220	199.3320	204.8780	199.4420	205.0900
Off-grid_VIA1_12_56	56	Off-grid	VIA1 (12)	199.387	204.984	180-200,200-220	199.3620	204.8830	199.4120	205.0850
Off-grid_M2_13_57	57	Off-grid	M2 (13)	195.71	208.328	180-200,200-220	195.6800	208.1970	195.7400	208.4590
Off-grid_VIA1_12_58	58	Off-grid	VIA1 (12)	195.71	208.328	180-200,200-220	195.6850	208.2270	195.7350	208.4290
Off-grid_M2_13_59	59	Off-grid	M2 (13)	197.838	209.544	180-200,200-220	197.8080	209.4130	197.8680	209.6750
Off-grid_VIA1_12_60	60	Off-grid	VIA1 (12)	197.838	209.544	180-200,200-220	197.8130	209.4430	197.8630	209.6450
Off-grid_M2_13_61	61	Off-grid	M2 (13)	199.485	211.672	180-200,200-220	199.4300	211.5660	199.5400	211.7780
Off-grid_VIA1_12_62	62	Off-grid	VIA1 (12)	199.485	211.672	180-200,200-220	199.4600	211.5710	199.5100	211.7730
Off-grid_M2_13_63	63	Off-grid	M2 (13)	201.942	208.328	200-220,200-220	201.9120	208.1970	201.9720	208.4590
Off-grid_VIA1_12_64	64	Off-grid	VIA1 (12)	201.942	208.328	200-220,200-220	201.9170	208.2270	201.9670	208.4290
Off-grid_VIA1_12_65	65	Off-grid	VIA1 (12)	204.653	211.672	200-220,200-220	204.6280	211.5710	204.6780	211.7730
Off-grid_M2_13_66	66	Off-grid	M2 (13)	204.653	211.672	200-220,200-220	204.5980	211.5660	204.7080	211.7780
Off-grid_VIA1_12_67	67	Off-grid	VIA1 (12)	228.669	215.016	220-240,200-220	228.6440	214.9150	228.6940	215.1170
Off-grid_M2_13_68	68	Off-grid	M2 (13)	228.669	215.016	220-240,200-220	228.6140	214.9100	228.7240	215.1220
Off-grid_M2_13_69	69	Off-grid	M2 (13)	172.758	225.048	160-180,220-240	172.7280	224.9170	172.7880	225.1790
Off-grid_VIA1_12_70	70	Off-grid	VIA1 (12)	172.758	225.048	160-180,220-240	172.7330	224.9470	172.7830	225.1490
Off-grid_VIA1_12_71	71	Off-grid	VIA1 (12)	169.11	225.048	160-180,220-240	169.0850	224.9470	169.1350	225.1490
Off-grid_M2_13_72	72	Off-grid	M2 (13)	169.11	225.048	160-180,220-240	169.0800	224.9170	169.1400	225.1790
