tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	315	Diff net spacing	M1 (11)	276.424	256.29650000000004	260-280,240-260	276.344	256.255	276.504	256.338
Diff_net_spacing_M1_(11)_2	316	Diff net spacing	M1 (11)	276.728	255.20749999999998	260-280,240-260	276.648	255.166	276.808	255.249
Diff_net_spacing_M1_(11)_3	317	Diff net spacing	M1 (11)	277.64	256.29650000000004	260-280,240-260	277.56	256.255	277.72	256.338
Diff_net_spacing_M2_(13)_1	177	Diff net spacing	M2 (13)	300.23	226.49099999999999	300-320,220-240	300.14	226.114	300.32	226.868
Diff_net_spacing_M2_(13)_2	178	Diff net spacing	M2 (13)	300.2165	226.43099999999998	300-320,220-240	300.113	226.114	300.32	226.748
Less_than_minimum_area_M2_(13)_1	366	Less than minimum area	M2 (13)	234.32	279.92	220-240,260-280	234.29	279.865	234.35	279.975
Less_than_minimum_area_M2_(13)_2	83	Less than minimum area	M2 (13)	192.824	136.128	180-200,120-140	192.794	136.073	192.854	136.183
Less_than_minimum_area_M2_(13)_3	189	Less than minimum area	M2 (13)	226.872	236.44799999999998	220-240,220-240	226.842	236.393	226.902	236.503
Needs_fat_contact_M1_(11)-M2_(13)_1	331	Needs fat contact	M1 (11)-M2 (13)	149.352	271.712	140-160,260-280	149.322	271.657	149.382	271.767
Needs_fat_contact_M1_(11)-M2_(13)_2	332	Needs fat contact	M1 (11)-M2 (13)	152.696	271.712	140-160,260-280	152.666	271.657	152.726	271.767
Needs_fat_contact_M1_(11)-M2_(13)_3	334	Needs fat contact	M1 (11)-M2 (13)	161.968	265.024	160-180,260-280	161.938	264.969	161.998	265.079
Off-grid_M1_(11)_1	81	Off-grid	M1 (11)	189.602	138.122	180-200,120-140	189.577	138.079	189.627	138.165
Off-grid_M1_(11)_2	97	Off-grid	M1 (11)	237.53199999999998	147.9585	220-240,140-160	237.487	147.908	237.577	148.009
Off-grid_M1_(11)_3	22	Off-grid	M1 (11)	199.679	66.0175	180-200,060-080	199.639	65.949	199.719	66.086
Off-grid_M2_(13)_1	324	Off-grid	M2 (13)	100.862	271.712	100-120,260-280	100.832	271.581	100.892	271.843
Off-grid_M2_(13)_2	326	Off-grid	M2 (13)	95.061	273.23199999999997	080-100,260-280	95.006	273.126	95.116	273.338
Off-grid_M2_(13)_3	328	Off-grid	M2 (13)	108.893	269.88800000000003	100-120,260-280	108.838	269.782	108.948	269.994
Off-grid_VIA1_(12)_1	323	Off-grid	VIA1 (12)	100.862	271.712	100-120,260-280	100.837	271.611	100.887	271.813
Off-grid_VIA1_(12)_2	325	Off-grid	VIA1 (12)	95.061	273.23199999999997	080-100,260-280	95.036	273.131	95.086	273.333
Off-grid_VIA1_(12)_3	327	Off-grid	VIA1 (12)	108.893	269.888	100-120,260-280	108.868	269.787	108.918	269.989
Same_net_spacing_M2_(13)_1	50	Same net spacing	M2 (13)	201.336	101.852	200-220,100-120	201.25	101.817	201.422	101.887
Short_M1_(11)_1	80	Short	M1 (11)	301.58	121.84	300-320,120-140	301.505	121.765	301.655	121.915
Short_M1_(11)_2	0	Short	M1 (11)	120.32	25.75	120-140,020-040	120.24	25.675	120.4	25.825
Short_M1_(11)_3	48	Short	M1 (11)	301.58	91.744	300-320,080-100	301.505	91.669	301.655	91.819
Short_M3_(15)_1	374	Short	M3 (15)	160.6	292.536	160-180,280-300	160.516	292.452	160.684	292.62
Hotspot_220to240_220to240_1	195	Diff net spacing	M1 (11)	220.18400000000003	235.14350000000002	220-240,220-240	220.104	235.102	220.264	235.185
Hotspot_220to240_220to240_2	196	Diff net spacing	M1 (11)	220.64	231.79950000000002	220-240,220-240	220.56	231.758	220.72	231.841
Hotspot_220to240_220to240_3	197	Diff net spacing	M1 (11)	222.16000000000003	229.5445	220-240,220-240	222.08	229.503	222.24	229.586
Hotspot_240to260_220to240_1	174	Needs fat contact	M1 (11)-M2 (13)	257.88	224.89600000000002	240-260,220-240	257.85	224.841	257.91	224.951
Hotspot_240to260_220to240_2	166	Off-grid	VIA1 (12)	241.13299999999998	226.264	240-260,220-240	241.108	226.163	241.158	226.365
Hotspot_240to260_220to240_3	167	Off-grid	M2 (13)	241.13299999999998	226.264	240-260,220-240	241.078	226.158	241.188	226.37
Hotspot_240to260_240to260_1	268	Needs fat contact	M1 (11)-M2 (13)	258.79200000000003	251.648	240-260,240-260	258.762	251.593	258.822	251.703
Hotspot_240to260_240to260_2	269	Needs fat contact	M1 (11)-M2 (13)	256.664	249.824	240-260,240-260	256.634	249.769	256.694	249.879
Hotspot_240to260_240to260_3	272	Needs fat contact	M1 (11)-M2 (13)	255.6	241.61599999999999	240-260,240-260	255.57	241.561	255.63	241.671
Hotspot_220to240_240to260_1	246	Diff net spacing	M1 (11)	221.248	241.8315	220-240,240-260	221.168	241.79	221.328	241.873
Hotspot_220to240_240to260_2	256	Diff net spacing	M1 (11)	233.10399999999998	246.2645	220-240,240-260	233.024	246.223	233.184	246.306
Hotspot_220to240_240to260_3	257	Diff net spacing	M1 (11)	229.608	245.1755	220-240,240-260	229.528	245.134	229.688	245.217
Hotspot_220to240_200to220_1	131	Off-grid	VIA1 (12)	239.363	202.856	220-240,200-220	239.338	202.755	239.388	202.957
Hotspot_220to240_200to220_2	132	Off-grid	M2 (13)	239.363	202.856	220-240,200-220	239.308	202.75	239.418	202.962
Hotspot_220to240_200to220_3	133	Off-grid	VIA1 (12)	230.797	201.64	220-240,200-220	230.772	201.539	230.822	201.741
