error_id	error_type	error_layer	cx	cy	bucket20	nearest_pg_net	nearest_pg_shape	nearest_pg_distance_um	nearest_pg_distance_bin
315	Off-grid	VIA1 (12)	236.142	255.144	220-240,240-260	VDD	PATH_13_202	3.6580	<=5.00um
316	Off-grid	M2 (13)	233.22899999999998	253.01600000000002	220-240,240-260	VDD	PATH_13_202	6.5710	>5.00um
317	Off-grid	VIA1 (12)	233.22899999999998	253.016	220-240,240-260	VDD	PATH_13_202	6.5710	>5.00um
318	Off-grid	M2 (13)	234.749	253.01600000000002	220-240,240-260	VDD	PATH_13_202	5.0510	>5.00um
319	Off-grid	VIA1 (12)	234.749	253.016	220-240,240-260	VDD	PATH_13_202	5.0510	>5.00um
321	Off-grid	VIA1 (12)	250.101	253.016	240-260,240-260	VSS	PATH_13_203	9.6990	>5.00um
322	Off-grid	M2 (13)	250.101	253.01600000000002	240-260,240-260	VSS	PATH_13_203	9.6990	>5.00um
323	Off-grid	VIA1 (12)	248.58100000000002	253.016	240-260,240-260	VDD	PATH_13_202	8.3810	>5.00um
324	Off-grid	M2 (13)	248.58100000000002	253.01600000000002	240-260,240-260	VDD	PATH_13_202	8.3810	>5.00um
325	Off-grid	VIA1 (12)	251.62099999999998	255.144	240-260,240-260	VSS	PATH_13_203	8.1790	>5.00um
326	Off-grid	M2 (13)	251.62099999999998	255.144	240-260,240-260	VSS	PATH_13_203	8.1790	>5.00um
140	Off-grid	VIA1 (12)	230.037	201.64	220-240,200-220	VDD	PATH_13_202	9.7630	>5.00um
141	Off-grid	M2 (13)	230.037	201.64	220-240,200-220	VDD	PATH_13_202	9.7630	>5.00um
142	Off-grid	VIA1 (12)	231.278	202.856	220-240,200-220	VDD	PATH_13_202	8.5220	>5.00um
143	Off-grid	M2 (13)	231.278	202.856	220-240,200-220	VDD	PATH_13_202	8.5220	>5.00um
144	Off-grid	VIA1 (12)	237.054	202.856	220-240,200-220	VDD	PATH_13_202	2.7460	<=5.00um
145	Off-grid	M2 (13)	237.054	202.856	220-240,200-220	VDD	PATH_13_202	2.7460	<=5.00um
146	Off-grid	VIA1 (12)	238.549	202.856	220-240,200-220	VDD	PATH_13_202	1.2510	<=2.00um
147	Off-grid	M2 (13)	238.549	202.856	220-240,200-220	VDD	PATH_13_202	1.2510	<=2.00um
148	Off-grid	VIA1 (12)	240.402	202.856	240-260,200-220	VDD	PATH_13_202	0.2020	<=0.25um
149	Off-grid	M2 (13)	240.402	202.856	240-260,200-220	VDD	PATH_13_202	0.2020	<=0.25um
150	Off-grid	VIA1 (12)	240.677	201.64	240-260,200-220	VDD	PATH_13_202	0.4770	<=0.50um
151	Off-grid	M2 (13)	240.67700000000002	201.64	240-260,200-220	VDD	PATH_13_202	0.4770	<=0.50um
152	Off-grid	VIA1 (12)	242.349	202.856	240-260,200-220	VDD	PATH_13_202	2.1490	<=5.00um
153	Off-grid	M2 (13)	242.349	202.856	240-260,200-220	VDD	PATH_13_202	2.1490	<=5.00um
160	Off-grid	VIA1 (12)	230.949	204.984	220-240,200-220	VDD	PATH_13_202	8.8510	>5.00um
161	Off-grid	M2 (13)	230.949	204.98399999999998	220-240,200-220	VDD	PATH_13_202	8.8510	>5.00um
162	Off-grid	VIA1 (12)	237.18099999999998	209.544	220-240,200-220	VDD	PATH_13_202	2.6190	<=5.00um
163	Off-grid	VIA1 (12)	244.325	209.544	240-260,200-220	VDD	PATH_13_202	4.1250	<=5.00um
164	Off-grid	M2 (13)	244.325	209.54399999999998	240-260,200-220	VDD	PATH_13_202	4.1250	<=5.00um
171	Off-grid	M2 (13)	227.909	226.264	220-240,220-240	VSS	PATH_13_201	7.7090	>5.00um
172	Off-grid	VIA1 (12)	227.909	226.264	220-240,220-240	VSS	PATH_13_201	7.7090	>5.00um
173	Off-grid	VIA1 (12)	239.363	226.264	220-240,220-240	VDD	PATH_13_202	0.4370	<=0.50um
174	Off-grid	M2 (13)	239.363	226.264	220-240,220-240	VDD	PATH_13_202	0.4370	<=0.50um
175	Off-grid	VIA1 (12)	237.789	218.36	220-240,200-220	VDD	PATH_13_202	2.0110	<=5.00um
176	Off-grid	M2 (13)	237.789	218.36	220-240,200-220	VDD	PATH_13_202	2.0110	<=5.00um
177	Off-grid	M2 (13)	235.661	219.576	220-240,200-220	VDD	PATH_13_202	4.1390	<=5.00um
178	Off-grid	VIA1 (12)	235.661	219.576	220-240,200-220	VDD	PATH_13_202	4.1390	<=5.00um
179	Off-grid	VIA1 (12)	233.077	218.36	220-240,200-220	VDD	PATH_13_202	6.7230	>5.00um
180	Off-grid	M2 (13)	233.077	218.36	220-240,200-220	VDD	PATH_13_202	6.7230	>5.00um
181	Off-grid	VIA1 (12)	235.813	216.232	220-240,200-220	VDD	PATH_13_202	3.9870	<=5.00um
182	Off-grid	VIA1 (12)	236.725	222.92	220-240,220-240	VDD	PATH_13_202	3.0750	<=5.00um
183	Off-grid	M2 (13)	236.725	222.92000000000002	220-240,220-240	VDD	PATH_13_202	3.0750	<=5.00um
184	Off-grid	VIA1 (12)	240.427	222.92	240-260,220-240	VDD	PATH_13_202	0.2270	<=0.25um
185	Off-grid	M2 (13)	240.42700000000002	222.92000000000002	240-260,220-240	VDD	PATH_13_202	0.2270	<=0.25um
186	Off-grid	M2 (13)	240.67700000000002	225.048	240-260,220-240	VDD	PATH_13_202	0.4770	<=0.50um
187	Off-grid	VIA1 (12)	240.677	225.048	240-260,220-240	VDD	PATH_13_202	0.4770	<=0.50um
211	Off-grid	VIA1 (12)	239.363	229.608	220-240,220-240	VDD	PATH_13_202	0.4370	<=0.50um
212	Off-grid	M2 (13)	239.363	229.608	220-240,220-240	VDD	PATH_13_202	0.4370	<=0.50um
213	Off-grid	M2 (13)	239.613	228.392	220-240,220-240	VDD	PATH_13_202	0.1870	<=0.25um
214	Off-grid	VIA1 (12)	239.613	228.392	220-240,220-240	VDD	PATH_13_202	0.1870	<=0.25um
215	Off-grid	M2 (13)	237.358	231.736	220-240,220-240	VDD	PATH_13_202	2.4420	<=5.00um
